Type,water- liters.day,Growth_Season,Temperature_C,Pot_Size,Light_Type,Soil_Type,Growth_Requirements,Care_Instructions,Water.ml_Notif/day,Growth_Tracker,Benefit
يقطين قلبي (Pumpkin - Heirloom),2.96,Summer,Oct-28,medium,Partial shade,Loamy,Deadhead spent blooms,"Water at base, not foliage",2960,Slow (40%),Provide shade and cool the environment
طماطم مبكر (Tomato - Early),0.35,Summer,Nov-34,large,Partial shade,Sandy loam,Mulch to retain moisture,Trim regularly for shape,350,Medium-Fast (70%),Low in calories and ideal for diets
خيار حلو (Cucumber - Sweet),1.46,Summer,15-36,large,Full sun,Sandy,Deadhead spent blooms,Avoid overwatering,1460,Slow (40%),Low in calories and ideal for diets
بروكلي أخضر غامق (Broccoli - Dark Green),1.48,Spring,18-36,medium,Full sun,Sandy,Support stems/trellis,Avoid overwatering,1480,Slow (40%),Natural source of fiber for better digestion
شمندر كرزية (Beetroot - Cherry),1.46,Autumn,14-32,ground,Partial shade,Sandy,Fertilize monthly,"Water at base, not foliage",1460,Medium (60%),Boosts immunity and improves skin health
شمندر مبكر (Beetroot - Early),2.46,Spring,20-31,medium,Full sun,Sandy loam,Support stems/trellis,Keep soil evenly moist,2460,Slow (40%),Fix nitrogen and enrich soil fertility
بطاطس مبكر (Potato - Early),0.47,Summer,18-26,large,Indirect light,Well-drained,Support stems/trellis,Trim regularly for shape,470,Medium-Fast (70%),Supports heart and vascular health
جزر حار (Carrot - Hot),2.09,Winter,Oct-34,medium,Partial shade,Loamy,Mulch to retain moisture,"Water at base, not foliage",2090,Slow (40%),Rich in vitamins and minerals
ثوم روما (Garlic - Roma),2.96,Summer,Oct-25,medium,Full sun,Clay,Mulch to retain moisture,"Water at base, not foliage",2960,Medium (60%),Supports heart and vascular health
باذنجان روما (Eggplant - Roma),2.28,Autumn,Dec-23,large,Partial shade,Well-drained,Support stems/trellis,Trim regularly for shape,2280,Medium (60%),Supports heart and vascular health
طماطم روما (Tomato - Roma),0.33,Summer,Dec-31,ground,Partial shade,Clay,Mulch to retain moisture,Trim regularly for shape,330,Fast (80%),Low in calories and ideal for diets
ثوم أصفر (Garlic - Yellow),1.45,Summer,14-35,large,Full sun,Sandy loam,Mulch to retain moisture,Keep soil evenly moist,1450,Medium (60%),Rich in vitamins and minerals
خس حار (Lettuce - Hot),0.65,Summer,16-34,ground,Partial shade,Well-drained,Deadhead spent blooms,Keep soil evenly moist,650,Medium (60%),Natural source of fiber for better digestion
خس أصفر (Lettuce - Yellow),2.56,Spring,19-29,medium,Full sun,Sandy,Deadhead spent blooms,Protect from frost,2560,Slow (40%),Low in calories and ideal for diets
كرنب سان مارزانو (Cabbage - San Marzano),0.84,Autumn,Dec-33,ground,Partial shade,Sandy loam,Deadhead spent blooms,Trim regularly for shape,840,Medium-Fast (70%),Contains antioxidants that reduce inflammation
باذنجان عملاق (Eggplant - Giant),2.69,Autumn,13-28,medium,Indirect light,Sandy loam,Regular watering,Keep soil evenly moist,2690,Slow (40%),Low in calories and ideal for diets
هليون مبكر (Asparagus - Early),2.95,Winter,Nov-27,ground,Partial shade,Clay,Deadhead spent blooms,Trim regularly for shape,2950,Slow (40%),Used in cooking as natural seasoning
فجل حلو (Radish - Sweet),2.06,Autumn,14-30,ground,Partial shade,Loamy,Regular watering,Keep soil evenly moist,2060,Medium-Fast (70%),Contains antioxidants that reduce inflammation
كراث روما (Leek - Roma),1.51,Autumn,16-30,ground,Indirect light,Well-drained,Fertilize monthly,Trim regularly for shape,1510,Fast (80%),Used in perfumes and decoration
كراث كرزية (Leek - Cherry),2.56,Spring,Oct-28,medium,Partial shade,Clay,Mulch to retain moisture,"Water at base, not foliage",2560,Medium (60%),High in vitamin C and antioxidants
جزر كرزية (Carrot - Cherry),2.85,Autumn,15-29,large,Indirect light,Clay,Mulch to retain moisture,Protect from frost,2850,Slow (40%),Rich in vitamins and minerals
قرنبيط برتقالي (Cauliflower - Orange),1.37,Summer,16-35,ground,Full sun,Well-drained,Regular watering,Avoid overwatering,1370,Slow (40%),Natural source of fiber for better digestion
جزر سان مارزانو (Carrot - San Marzano),3,Summer,15-26,large,Full sun,Sandy,Regular watering,"Water at base, not foliage",3000,Fast (80%),Contains antioxidants that reduce inflammation
قرنبيط طري (Cauliflower - Tender),0.54,Summer,17-31,ground,Full sun,Sandy loam,Fertilize monthly,Keep soil evenly moist,540,Medium (60%),Rich in vitamins and minerals
هليون صيفي (Asparagus - Summer),1.73,Summer,Nov-35,ground,Indirect light,Clay,Fertilize monthly,"Water at base, not foliage",1730,Slow (40%),Natural source of fiber for better digestion
ثوم سان مارزانو (Garlic - San Marzano),0.69,Autumn,17-29,ground,Full sun,Loamy,Fertilize monthly,Avoid overwatering,690,Fast (80%),Supports heart and vascular health
خرشوف كرزية (Artichoke - Cherry),0.66,Spring,19-33,medium,Indirect light,Clay,Fertilize monthly,"Water at base, not foliage",660,Slow (40%),Contains beneficial natural sugars
ثوم مقرمش (Garlic - Crisp),1.33,Spring,19-35,ground,Partial shade,Well-drained,Support stems/trellis,Avoid overwatering,1330,Medium-Fast (70%),Low in calories and ideal for diets
فجل روما (Radish - Roma),2.16,Spring,Nov-36,large,Partial shade,Clay,Regular watering,Protect from frost,2160,Medium-Fast (70%),Contains antioxidants that reduce inflammation
طماطم سان مارزانو (Tomato - San Marzano),0.57,Winter,Oct-33,ground,Full sun,Sandy loam,Deadhead spent blooms,Trim regularly for shape,570,Medium-Fast (70%),Natural source of fiber for better digestion
كرنب روما (Cabbage - Roma),2.03,Spring,16-30,medium,Full sun,Sandy,Mulch to retain moisture,Trim regularly for shape,2029,Medium (60%),Rich in vitamins and minerals
بطاطس طري (Potato - Tender),0.6,Summer,17-22,medium,Partial shade,Sandy loam,Fertilize monthly,Avoid overwatering,600,Medium-Fast (70%),Natural source of fiber for better digestion
يقطين حلو (Pumpkin - Sweet),0.52,Spring,16-36,large,Indirect light,Sandy,Regular watering,"Water at base, not foliage",520,Medium (60%),Low in calories and ideal for diets
باذنجان برتقالي (Eggplant - Orange),1.61,Spring,15-29,medium,Partial shade,Loamy,Deadhead spent blooms,Avoid overwatering,1610,Fast (80%),Natural source of fiber for better digestion
شمندر أصفر (Beetroot - Yellow),2.72,Spring,20-32,large,Full sun,Sandy loam,Fertilize monthly,Keep soil evenly moist,2720,Medium-Fast (70%),Provide shade and cool the environment
بطاطس روما (Potato - Roma),1.16,Autumn,Nov-27,large,Indirect light,Clay,Support stems/trellis,Protect from frost,1160,Medium-Fast (70%),Supports heart and vascular health
كوسا أخضر غامق (Zucchini - Dark Green),2.97,Summer,13-26,medium,Partial shade,Sandy loam,Support stems/trellis,Trim regularly for shape,2970,Medium (60%),Used in traditional herbal medicine
خس أخضر غامق (Lettuce - Dark Green),1.24,Autumn,18-25,ground,Indirect light,Loamy,Regular watering,Trim regularly for shape,1240,Slow (40%),Supports heart and vascular health
قرنبيط أصفر (Cauliflower - Yellow),0.4,Winter,Nov-22,large,Partial shade,Sandy,Regular watering,Avoid overwatering,400,Slow (40%),Rich in vitamins and minerals
قرنبيط حلو (Cauliflower - Sweet),0.87,Spring,13-25,medium,Indirect light,Sandy loam,Support stems/trellis,Keep soil evenly moist,870,Fast (80%),Supports heart and vascular health
كوسا مخطط (Zucchini - Striped),1.21,Spring,20-23,medium,Indirect light,Well-drained,Regular watering,"Water at base, not foliage",1210,Slow (40%),Prevent soil erosion and retain moisture
ثوم طري (Garlic - Tender),2.82,Winter,14-28,large,Indirect light,Well-drained,Fertilize monthly,"Water at base, not foliage",2820,Medium (60%),Low in calories and ideal for diets
يقطين شتوي (Pumpkin - Winter),2.9,Winter,16-34,medium,Full sun,Sandy loam,Fertilize monthly,Keep soil evenly moist,2900,Medium-Fast (70%),Improves digestion and reduces bloating
خس مخطط (Lettuce - Striped),2.67,Summer,Oct-22,ground,Indirect light,Well-drained,Regular watering,Trim regularly for shape,2670,Slow (40%),Rich in vitamins and minerals
ثوم قلبي (Garlic - Heirloom),0.39,Autumn,18-28,ground,Full sun,Well-drained,Mulch to retain moisture,Protect from frost,390,Slow (40%),Natural source of fiber for better digestion
قرنبيط أخضر غامق (Cauliflower - Dark Green),0.82,Summer,Dec-27,medium,Indirect light,Sandy,Regular watering,Avoid overwatering,820,Fast (80%),Supports heart and vascular health
فجل عملاق (Radish - Giant),2.51,Summer,16-32,ground,Partial shade,Clay,Fertilize monthly,Avoid overwatering,2510,Medium-Fast (70%),Contains beneficial natural sugars
خيار صيفي (Cucumber - Summer),2.3,Winter,15-25,medium,Partial shade,Clay,Fertilize monthly,Protect from frost,2300,Medium (60%),Supports heart and vascular health
بصل قزمي (Onion - Dwarf),1.54,Summer,Oct-27,ground,Full sun,Clay,Deadhead spent blooms,"Water at base, not foliage",1540,Slow (40%),Low in calories and ideal for diets
يقطين مخطط (Pumpkin - Striped),1.33,Autumn,13-36,large,Full sun,Well-drained,Deadhead spent blooms,Trim regularly for shape,1330,Fast (80%),Attracts pollinators and supports biodiversity
فجل برتقالي (Radish - Orange),2.14,Spring,14-29,ground,Indirect light,Clay,Deadhead spent blooms,Protect from frost,2140,Medium (60%),High in vitamin C and antioxidants
كرنب حار (Cabbage - Hot),1.03,Winter,Oct-29,medium,Partial shade,Sandy loam,Support stems/trellis,Avoid overwatering,1030,Medium-Fast (70%),Contains antioxidants that reduce inflammation
ثوم متأخر (Garlic - Late),2.08,Spring,14-25,large,Partial shade,Clay,Mulch to retain moisture,Protect from frost,2080,Slow (40%),Rich in vitamins and minerals
كرفس برتقالي (Celery - Orange),2.7,Autumn,16-34,medium,Full sun,Sandy,Support stems/trellis,Keep soil evenly moist,2700,Fast (80%),Helps prevent chronic diseases
شمندر قلبي (Beetroot - Heirloom),2.42,Summer,15-30,medium,Full sun,Well-drained,Deadhead spent blooms,"Water at base, not foliage",2420,Fast (80%),Attracts pollinators and supports biodiversity
جزر أصفر (Carrot - Yellow),1.87,Winter,19-23,ground,Full sun,Sandy loam,Fertilize monthly,"Water at base, not foliage",1870,Slow (40%),Contains antioxidants that reduce inflammation
يقطين أخضر غامق (Pumpkin - Dark Green),1.64,Summer,17-27,ground,Full sun,Well-drained,Mulch to retain moisture,"Water at base, not foliage",1640,Medium-Fast (70%),Used in traditional herbal medicine
فلفل حلو روما (Bell pepper - Roma),1.79,Autumn,15-25,ground,Partial shade,Well-drained,Fertilize monthly,Keep soil evenly moist,1790,Medium-Fast (70%),Good source of minerals and fiber
فجل حار (Radish - Hot),1.39,Winter,17-26,large,Indirect light,Sandy loam,Deadhead spent blooms,"Water at base, not foliage",1390,Medium (60%),Used in cooking as natural seasoning
خرشوف سان مارزانو (Artichoke - San Marzano),2.85,Winter,Oct-34,medium,Partial shade,Sandy loam,Fertilize monthly,"Water at base, not foliage",2850,Medium (60%),Contains beneficial natural sugars
باذنجان أصفر (Eggplant - Yellow),1.31,Summer,15-28,large,Partial shade,Loamy,Deadhead spent blooms,Trim regularly for shape,1310,Medium-Fast (70%),Supports heart and vascular health
فلفل حلو حلو (Bell pepper - Sweet),2.01,Summer,15-22,ground,Partial shade,Loamy,Mulch to retain moisture,"Water at base, not foliage",2009,Slow (40%),Support heart health and lower cholesterol
خرشوف عملاق (Artichoke - Giant),0.86,Spring,Oct-24,large,Full sun,Sandy loam,Mulch to retain moisture,Protect from frost,860,Slow (40%),Supports heart and vascular health
جزر روما (Carrot - Roma),1.91,Spring,Nov-28,ground,Full sun,Well-drained,Mulch to retain moisture,Trim regularly for shape,1910,Slow (40%),Natural source of fiber for better digestion
كرفس مخطط (Celery - Striped),2.29,Autumn,20-31,large,Partial shade,Well-drained,Regular watering,Trim regularly for shape,2290,Fast (80%),High in vitamin C and antioxidants
بطاطس حار (Potato - Hot),2.72,Summer,Oct-33,medium,Partial shade,Well-drained,Regular watering,"Water at base, not foliage",2720,Medium (60%),Rich in vitamins and minerals
جزر مقرمش (Carrot - Crisp),0.64,Winter,16-33,medium,Indirect light,Sandy,Regular watering,Protect from frost,640,Medium-Fast (70%),Rich in vitamins and minerals
فجل قزمي (Radish - Dwarf),2.52,Spring,Dec-23,large,Partial shade,Well-drained,Mulch to retain moisture,Trim regularly for shape,2520,Medium-Fast (70%),Purify air and absorb pollutants
خرشوف أخضر غامق (Artichoke - Dark Green),0.53,Spring,17-35,ground,Full sun,Sandy loam,Support stems/trellis,Protect from frost,530,Fast (80%),Good source of minerals and fiber
طماطم حلو (Tomato - Sweet),1.45,Winter,14-30,ground,Full sun,Well-drained,Fertilize monthly,Keep soil evenly moist,1450,Medium-Fast (70%),Contains antioxidants that reduce inflammation
بصل عملاق (Onion - Giant),2.97,Spring,14-24,large,Partial shade,Loamy,Support stems/trellis,"Water at base, not foliage",2970,Fast (80%),Rich in vitamins and minerals
خس مبكر (Lettuce - Early),1.93,Spring,Oct-27,ground,Partial shade,Loamy,Deadhead spent blooms,Trim regularly for shape,1930,Fast (80%),Contains antioxidants that reduce inflammation
بطاطس أصفر (Potato - Yellow),0.69,Autumn,18-29,medium,Full sun,Well-drained,Regular watering,Trim regularly for shape,690,Slow (40%),Rich in vitamins and minerals
هليون مخطط (Asparagus - Striped),1.13,Summer,Oct-22,ground,Indirect light,Well-drained,Deadhead spent blooms,Trim regularly for shape,1130,Slow (40%),Attracts pollinators and supports biodiversity
طماطم كرزية (Tomato - Cherry),2.03,Winter,Oct-25,ground,Partial shade,Sandy loam,Fertilize monthly,"Water at base, not foliage",2029,Medium-Fast (70%),Contains antioxidants that reduce inflammation
خس قزمي (Lettuce - Dwarf),0.72,Spring,14-25,large,Partial shade,Well-drained,Mulch to retain moisture,Protect from frost,720,Fast (80%),Contains antioxidants that reduce inflammation
قرنبيط سان مارزانو (Cauliflower - San Marzano),0.72,Winter,16-29,medium,Full sun,Sandy,Support stems/trellis,Avoid overwatering,720,Medium (60%),Rich in vitamins and minerals
خيار سان مارزانو (Cucumber - San Marzano),1.59,Spring,18-31,large,Indirect light,Sandy,Support stems/trellis,Trim regularly for shape,1590,Fast (80%),Low in calories and ideal for diets
كرنب كرزية (Cabbage - Cherry),1.5,Autumn,14-23,medium,Partial shade,Sandy,Mulch to retain moisture,Avoid overwatering,1500,Slow (40%),Contains antioxidants that reduce inflammation
كوسا مبكر (Zucchini - Early),2.15,Autumn,17-35,ground,Indirect light,Loamy,Fertilize monthly,Keep soil evenly moist,2150,Fast (80%),Provide shade and cool the environment
طماطم قزمي (Tomato - Dwarf),0.9,Winter,Dec-28,large,Partial shade,Clay,Fertilize monthly,Keep soil evenly moist,900,Medium-Fast (70%),Supports heart and vascular health
ثوم حلو (Garlic - Sweet),0.53,Autumn,15-33,large,Full sun,Loamy,Deadhead spent blooms,Trim regularly for shape,530,Slow (40%),Low in calories and ideal for diets
جزر عملاق (Carrot - Giant),2.94,Winter,17-36,ground,Indirect light,Sandy,Support stems/trellis,Trim regularly for shape,2940,Medium-Fast (70%),Supports heart and vascular health
بروكلي حلو (Broccoli - Sweet),2.57,Winter,13-22,ground,Indirect light,Loamy,Fertilize monthly,Avoid overwatering,2570,Fast (80%),Natural source of fiber for better digestion
بصل أخضر غامق (Onion - Dark Green),2.22,Spring,18-29,medium,Full sun,Clay,Regular watering,Keep soil evenly moist,2220,Medium-Fast (70%),Contains antioxidants that reduce inflammation
يقطين قزمي (Pumpkin - Dwarf),2.54,Summer,Nov-27,large,Partial shade,Loamy,Deadhead spent blooms,Protect from frost,2540,Medium (60%),Support ecosystems and reduce global warming
كرفس طري (Celery - Tender),1.68,Autumn,20-36,large,Partial shade,Clay,Support stems/trellis,Trim regularly for shape,1680,Medium (60%),Improves mood and well-being
شمندر متأخر (Beetroot - Late),0.44,Autumn,15-35,large,Indirect light,Well-drained,Mulch to retain moisture,"Water at base, not foliage",440,Slow (40%),Promote satiety and support weight control
خس سان مارزانو (Lettuce - San Marzano),1.34,Summer,18-32,medium,Partial shade,Clay,Support stems/trellis,Avoid overwatering,1340,Medium-Fast (70%),Low in calories and ideal for diets
شمندر شتوي (Beetroot - Winter),2.26,Winter,17-24,medium,Full sun,Clay,Regular watering,Protect from frost,2260,Slow (40%),Support ecosystems and reduce global warming
فلفل حلو أصفر (Bell pepper - Yellow),1.97,Autumn,Dec-34,large,Partial shade,Well-drained,Fertilize monthly,Trim regularly for shape,1970,Medium (60%),Contains antioxidants that reduce inflammation
باذنجان حار (Eggplant - Hot),2.9,Autumn,19-30,large,Full sun,Clay,Support stems/trellis,Protect from frost,2900,Medium-Fast (70%),Supports heart and vascular health
قرنبيط روما (Cauliflower - Roma),2.66,Winter,Dec-22,medium,Full sun,Sandy,Regular watering,"Water at base, not foliage",2660,Medium (60%),Supports heart and vascular health
كرفس صيفي (Celery - Summer),2.15,Winter,18-27,medium,Full sun,Sandy,Fertilize monthly,Avoid overwatering,2150,Fast (80%),Helps prevent chronic diseases
فجل مبكر (Radish - Early),1.68,Autumn,19-33,ground,Partial shade,Loamy,Deadhead spent blooms,Trim regularly for shape,1680,Medium-Fast (70%),Prevent soil erosion and retain moisture
هليون سان مارزانو (Asparagus - San Marzano),0.7,Summer,Oct-28,large,Indirect light,Loamy,Fertilize monthly,Avoid overwatering,700,Medium-Fast (70%),Enhance biodiversity and store carbon
كرفس شتوي (Celery - Winter),0.31,Autumn,16-24,large,Full sun,Sandy loam,Support stems/trellis,"Water at base, not foliage",310,Slow (40%),Enhance biodiversity and store carbon
خرشوف صيفي (Artichoke - Summer),2.42,Autumn,16-31,medium,Indirect light,Loamy,Deadhead spent blooms,Avoid overwatering,2420,Medium (60%),Improves mood and well-being
بروكلي روما (Broccoli - Roma),0.42,Autumn,Nov-27,ground,Partial shade,Sandy loam,Fertilize monthly,Keep soil evenly moist,420,Slow (40%),Natural source of fiber for better digestion
جزر حلو (Carrot - Sweet),0.73,Spring,16-29,ground,Full sun,Sandy loam,Fertilize monthly,Keep soil evenly moist,730,Medium (60%),Contains antioxidants that reduce inflammation
ثوم عملاق (Garlic - Giant),1.62,Winter,18-22,medium,Full sun,Well-drained,Fertilize monthly,Keep soil evenly moist,1620,Slow (40%),Rich in vitamins and minerals
كرنب مخطط (Cabbage - Striped),0.61,Winter,20-30,medium,Indirect light,Loamy,Regular watering,Protect from frost,610,Fast (80%),Low in calories and ideal for diets
كراث مبكر (Leek - Early),1.29,Summer,Nov-24,large,Indirect light,Clay,Deadhead spent blooms,Protect from frost,1290,Slow (40%),Good source of minerals and fiber
كراث حلو (Leek - Sweet),1.09,Autumn,16-33,ground,Partial shade,Loamy,Fertilize monthly,Protect from frost,1090,Medium-Fast (70%),Supports heart and vascular health
جزر مخطط (Carrot - Striped),0.81,Winter,15-35,ground,Full sun,Sandy loam,Regular watering,Keep soil evenly moist,810,Medium (60%),Rich in vitamins and minerals
كراث قلبي (Leek - Heirloom),1.18,Spring,Dec-28,large,Full sun,Clay,Regular watering,Trim regularly for shape,1180,Medium (60%),Support ecosystems and reduce global warming
كراث برتقالي (Leek - Orange),1.28,Autumn,19-23,medium,Full sun,Loamy,Mulch to retain moisture,"Water at base, not foliage",1280,Fast (80%),Contains beneficial natural sugars
فلفل حلو برتقالي (Bell pepper - Orange),0.92,Summer,15-29,ground,Partial shade,Well-drained,Regular watering,Keep soil evenly moist,920,Medium (60%),High in vitamin C and antioxidants
بصل متأخر (Onion - Late),2.2,Autumn,18-27,medium,Indirect light,Sandy,Fertilize monthly,Keep soil evenly moist,2200,Slow (40%),Natural source of fiber for better digestion
جزر طري (Carrot - Tender),0.7,Autumn,Dec-31,medium,Indirect light,Sandy,Regular watering,Protect from frost,700,Fast (80%),Contains antioxidants that reduce inflammation
خيار مخطط (Cucumber - Striped),1.26,Summer,20-34,large,Partial shade,Clay,Fertilize monthly,Trim regularly for shape,1260,Medium-Fast (70%),Natural source of fiber for better digestion
شمندر حلو (Beetroot - Sweet),0.4,Autumn,14-29,ground,Partial shade,Sandy,Fertilize monthly,Keep soil evenly moist,400,Slow (40%),Fix nitrogen and enrich soil fertility
كرفس أصفر (Celery - Yellow),2.15,Spring,13-36,medium,Partial shade,Well-drained,Regular watering,Keep soil evenly moist,2150,Medium-Fast (70%),Rich in vitamins and minerals
خرشوف متأخر (Artichoke - Late),0.66,Spring,15-31,large,Indirect light,Sandy,Fertilize monthly,Keep soil evenly moist,660,Medium (60%),Adds natural beauty to gardens
كرنب عملاق (Cabbage - Giant),1.31,Spring,18-23,medium,Full sun,Sandy loam,Support stems/trellis,"Water at base, not foliage",1310,Medium-Fast (70%),Supports heart and vascular health
بصل مخطط (Onion - Striped),2.24,Autumn,16-32,ground,Indirect light,Clay,Fertilize monthly,Keep soil evenly moist,2240,Fast (80%),Contains antioxidants that reduce inflammation
كراث شتوي (Leek - Winter),0.96,Summer,13-30,large,Full sun,Clay,Mulch to retain moisture,"Water at base, not foliage",960,Medium-Fast (70%),Good source of minerals and fiber
بروكلي أصفر (Broccoli - Yellow),2.32,Summer,19-26,medium,Indirect light,Sandy,Support stems/trellis,Trim regularly for shape,2320,Medium (60%),Contains antioxidants that reduce inflammation
بصل شتوي (Onion - Winter),0.41,Summer,16-24,large,Partial shade,Well-drained,Support stems/trellis,Avoid overwatering,410,Slow (40%),Rich in vitamins and minerals
فجل سان مارزانو (Radish - San Marzano),2.67,Autumn,13-29,ground,Indirect light,Loamy,Regular watering,Avoid overwatering,2670,Fast (80%),Fix nitrogen and enrich soil fertility
بصل كرزية (Onion - Cherry),0.85,Autumn,Nov-34,large,Indirect light,Clay,Regular watering,Trim regularly for shape,850,Medium (60%),Natural source of fiber for better digestion
